epoch,train_loss,val_loss,val_mae,test_loss,test_mae
1,0.5217,0.1894,0.2733,,
2,0.4442,0.1526,0.3214,,
3,0.4568,0.1441,0.2634,,
4,0.4242,0.1607,0.2706,,
5,0.4163,0.1378,0.2695,,
6,0.4321,0.1399,0.2956,,
7,0.4205,0.1453,0.2604,,
8,0.3310,0.2514,0.3422,,
9,0.1625,0.2083,0.3910,,
10,0.4243,0.2157,0.2923,,
11,0.4558,0.1366,0.2695,,
12,0.4277,0.2684,0.3502,,
13,0.4123,0.1661,0.2639,,
14,0.3377,0.1348,0.2443,,
15,0.3779,0.1528,0.2565,,
final_test,,,,0.0495,0.1813
